id_player,distance_covered(km/h),top_speed,minutes_played,matches_appareance
250105927,41.94,34.55,360,4
250121533,38.39,35.47,360,4
250121294,46.61,32.26,360,4
250160436,44.67,33.39,360,4
250028211,39.28,31.7,360,4
250123677,46.72,33.97,360,4
250055663,37.94,32.48,360,4
250189506,44.37,32.14,360,4
250106969,43.79,31.57,360,4
50327420,37.76,34.92,360,4
250004363,43.66,32.02,360,4
250139207,44.24,32.53,360,4
250052554,42.09,32.47,360,4
250134856,41.2,32.85,360,4
250014042,50.46,29.71,360,4
250101557,46.86,31.36,360,4
250065419,46.39,33.01,360,4
250025791,46.33,30.17,360,4
250163454,44.4,33.25,360,4
250116734,44.19,33.62,360,4
250113001,44.1,31.7,360,4
250102868,43.69,32.82,360,4
250122983,43.59,32.51,360,4
250055660,43.11,33.8,360,4
250121149,42.51,33.23,360,4
250068808,42.41,31.0,360,4
250051754,42.31,32.08,360,4
250188247,41.49,32.9,360,4
250076126,40.37,34.79,360,4
250131541,39.15,33.03,360,4
250000679,39.11,31.25,360,4
250061721,37.24,33.96,360,4
250121218,37.07,32.26,360,4
102420,23.21,24.09,360,4
250124006,19.89,22.6,360,4
250135068,19.66,24.81,360,4
250123304,19.64,22.24,360,4
250157134,18.72,23.35,360,4
74954,18.61,22.89,360,4
250040573,18.15,27.16,360,4
250085475,17.81,23.12,360,4
250172672,46.79,32.28,359,4
250091013,38.78,33.51,358,4
250023097,47.03,30.59,354,4
250067630,38.41,35.17,354,4
250130406,42.93,34.52,352,4
250096954,39.82,35.55,351,4
104733,34.38,31.89,349,4
250112122,42.91,32.9,346,4
250132399,42.14,33.13,345,4
250169706,43.92,35.39,344,4
250118504,43.38,33.41,344,4
250181680,39.07,34.57,343,4
250098471,39.24,31.96,342,4
250139445,45.62,32.1,341,4
250042422,44.35,32.38,341,4
250005343,41.76,29.45,341,4
250137390,39.27,33.88,340,4
250169730,39.36,32.99,340,4
250013022,38.5,34.17,338,4
250130234,46.27,33.46,336,4
250125538,37.33,35.03,336,4
250108215,39.57,32.41,334,4
250128377,37.99,32.87,333,4
250052469,37.17,34.54,332,4
250046522,43.01,33.71,332,4
250161248,39.0,30.14,332,4
250085369,36.0,33.28,331,4
250096698,44.55,33.53,329,4
250102866,41.63,30.13,327,4
250169764,39.13,33.07,327,4
250168990,39.42,31.69,325,4
250130414,45.03,31.89,323,4
250103758,33.95,34.86,321,4
250042780,18.77,26.4,321,4
250076357,35.8,34.14,320,4
250089228,33.47,35.59,317,4
250099180,38.47,32.25,316,4
250101284,36.19,35.23,315,4
250106709,35.96,32.09,315,4
250099671,39.39,32.04,314,4
250167111,37.32,34.36,308,4
250200228,42.82,32.65,307,4
250121132,38.1,32.89,307,4
250140940,37.46,32.09,305,4
250163623,40.07,33.82,305,4
250101534,38.33,32.9,303,4
250127111,39.71,33.84,302,4
250076574,30.06,35.67,302,4
250174822,33.95,34.39,302,4
250171055,36.82,34.16,300,4
250113276,35.31,35.38,297,4
250058258,32.75,33.07,295,4
250128255,34.69,32.11,290,4
250106148,35.09,35.94,289,4
250118391,33.78,32.3,288,4
250004721,38.33,31.34,288,4
250129446,34.04,32.1,287,4
250017824,35.26,33.52,284,4
250112803,30.17,33.37,284,4
250081207,37.28,29.25,283,4
250104066,36.85,33.35,282,4
250121965,29.84,34.24,282,4
250080553,32.13,32.12,281,4
250169705,36.56,30.55,280,4
250032786,33.72,30.57,278,4
250200308,32.21,33.21,276,4
250127284,33.42,33.15,275,4
250198240,32.83,33.54,272,4
250104075,29.23,31.78,272,4
250064274,26.62,32.9,271,4
250016833,32.7,30.35,270,3
250145803,32.3,35.4,270,3
250132323,27.77,35.21,270,3
250087938,36.14,31.92,270,3
250088061,33.5,36.55,270,3
250043066,30.48,31.08,270,3
250063505,30.28,32.63,270,3
250070417,36.82,32.23,270,3
250129965,35.59,29.28,270,3
250101727,33.12,29.61,270,3
250134304,32.62,34.39,270,3
250092668,29.97,32.74,270,3
250136465,28.84,35.36,270,3
250158901,28.72,28.87,270,3
250081553,37.07,31.64,270,3
250083732,36.13,32.35,270,3
250188474,35.58,32.07,270,3
250134536,35.38,31.14,270,3
250112217,35.24,29.08,270,3
250187672,35.22,35.56,270,3
250064188,34.87,29.58,270,3
250112978,34.32,32.04,270,3
250014709,33.9,32.82,270,3
250128120,33.37,35.6,270,3
250123695,33.35,31.3,270,3
250096309,32.67,31.61,270,3
250064444,32.34,31.3,270,3
250153945,32.26,33.31,270,3
250132401,32.13,32.37,270,3
250053044,32.12,30.73,270,3
250077679,32.02,33.66,270,3
250079545,31.86,34.27,270,3
250064064,31.77,33.04,270,3
250085751,31.7,29.14,270,3
250087118,31.51,32.43,270,3
250189363,31.4,32.14,270,3
250148830,31.26,32.09,270,3
250107477,31.23,32.38,270,3
250174126,30.92,30.31,270,3
250127492,30.87,32.29,270,3
250131901,30.51,33.07,270,3
250127439,30.18,31.42,270,3
250126449,30.08,33.5,270,3
250130786,30.04,33.29,270,3
250124068,29.54,35.09,270,3
250158476,29.26,32.43,270,3
250176201,29.2,31.16,270,3
250135672,29.05,32.48,270,3
250160568,28.92,33.25,270,3
250017040,28.8,30.16,270,3
250016616,27.42,31.92,270,3
250171278,18.42,27.59,270,3
250006714,16.56,24.98,270,3
250063980,16.29,26.7,270,3
250121017,16.17,25.77,270,3
250069832,15.94,22.23,270,3
1907188,15.87,24.57,270,3
98078,15.71,23.15,270,3
250087102,15.59,23.2,270,3
250101144,15.31,26.29,270,3
250066131,15.02,23.1,270,3
250105818,14.9,25.74,270,3
97746,14.84,21.24,270,3
250012069,14.78,24.14,270,3
250105612,14.09,24.16,270,3
250113444,13.51,22.68,270,3
250102035,36.02,32.46,269,4
250081223,32.85,31.09,269,4
250115192,34.21,33.43,269,4
250090766,32.47,32.31,269,3
250188511,30.58,31.68,269,3
250119677,31.69,33.16,268,4
250079003,34.27,31.21,268,3
250135416,31.41,32.91,268,3
250103243,30.81,31.68,267,3
250079677,31.14,32.51,266,3
250135339,36.05,31.63,265,3
250076631,33.27,31.98,264,4
250040471,30.57,31.45,264,3
250138382,29.77,33.85,264,3
250196588,34.38,29.48,263,3
250157930,31.85,33.14,263,3
250129341,36.06,30.1,262,3
250142271,36.22,31.69,261,4
250153849,36.24,32.44,261,3
250122213,33.59,34.06,259,4
250064027,31.48,30.49,259,4
250119181,34.41,31.6,259,3
250024456,30.77,33.72,258,4
250041626,30.25,32.9,258,3
250096849,30.23,33.16,257,4
250065301,34.55,30.63,257,4
250097909,30.47,31.64,257,3
250078593,34.48,30.83,257,3
250112880,31.72,33.33,256,3
250196709,33.15,30.55,256,3
250092517,32.24,32.11,256,3
250129746,33.23,32.98,255,4
250118964,31.96,31.16,255,3
250177497,31.75,33.65,254,4
250105717,30.08,34.44,253,3
250146674,31.75,32.63,251,3
250128451,31.02,32.94,251,3
250086263,26.44,32.88,251,3
250064232,31.74,32.5,250,3
250153349,28.11,32.51,249,3
250145845,30.18,34.06,248,4
250159544,31.41,33.04,247,3
250132407,28.21,32.29,247,3
250029535,35.25,28.82,246,4
250113211,29.28,32.52,246,3
250024349,32.38,30.78,245,4
250124460,30.14,33.1,245,3
250089225,34.38,30.41,245,3
250162325,29.03,34.07,245,3
250153402,29.83,33.46,244,4
250156459,26.41,34.05,244,4
250056159,30.23,30.64,244,3
250068733,28.46,30.28,244,3
250171067,30.05,34.01,243,3
250116904,32.97,32.85,242,4
250177886,30.17,33.68,241,3
250002096,26.8,30.59,240,3
250176450,26.24,31.71,240,3
250041770,29.14,31.99,240,3
250056566,29.57,32.94,239,4
250194673,27.11,30.59,239,3
250101201,14.22,24.91,239,3
250110734,30.96,32.25,238,3
250187759,29.81,33.46,237,3
250188223,27.41,35.13,234,3
250134138,26.09,35.27,234,3
250144858,29.09,28.05,233,3
250176453,27.42,31.77,233,3
250143693,31.41,31.42,232,3
250172907,28.78,33.84,231,3
250064252,27.72,30.07,231,3
250156457,30.91,31.04,230,4
250091290,30.13,35.14,229,3
250059115,29.05,27.46,226,3
250058227,29.64,33.44,225,4
250147342,27.63,34.15,225,3
250040521,28.29,32.39,225,3
250028715,27.26,31.23,225,3
250193541,26.26,32.23,225,3
1909917,32.34,29.43,225,3
97923,16.28,23.95,225,3
250079279,28.89,31.12,224,4
250019498,26.93,30.89,224,3
1905153,25.82,31.78,224,3
250117405,27.81,33.37,223,3
250112400,26.61,34.14,222,4
250135101,27.75,29.03,220,3
250078012,28.07,32.91,220,3
250106967,25.55,32.93,220,3
250196712,24.79,34.34,220,3
250112224,28.61,34.3,218,4
250005335,28.24,27.85,218,4
250163400,30.33,32.3,218,4
250099258,22.74,31.67,218,3
250141861,24.28,32.28,218,3
250064446,27.41,31.19,218,3
250200313,23.5,32.51,218,3
250061027,30.44,30.42,214,3
250172668,25.22,34.29,213,3
250171301,26.68,31.38,213,3
250086316,25.97,31.99,212,3
250169685,21.71,32.19,212,3
250132811,29.25,33.21,211,4
250145629,25.58,33.76,211,3
250187221,24.32,32.86,211,3
250105244,26.73,32.22,210,4
250113373,25.26,33.15,209,3
250164991,28.81,31.7,207,3
250163786,25.19,32.98,207,3
250191448,30.23,30.72,206,3
250167977,23.99,32.05,203,4
250112842,26.01,30.63,203,3
250113237,26.6,30.72,201,3
250051291,13.31,25.51,201,3
250143328,25.23,31.27,200,3
250134320,26.8,31.85,198,4
250058722,23.2,30.6,198,3
250086037,23.33,31.13,198,3
250113993,23.18,33.37,197,3
250129175,26.86,32.0,196,4
250091187,22.7,31.92,196,3
250079541,21.25,30.29,196,3
250112690,23.73,33.48,195,3
250171184,25.58,31.29,194,3
250023009,26.08,32.84,194,3
250063394,21.56,29.98,193,3
250112969,27.43,30.15,193,3
250132831,23.03,33.76,193,3
250136464,21.89,31.05,193,3
250127540,23.86,31.01,192,4
250096716,22.72,32.52,192,4
250103562,23.86,31.77,191,3
250101097,23.54,33.68,190,4
250106722,23.15,32.31,190,3
74699,22.34,29.47,187,4
250049573,24.17,29.45,187,4
250121330,21.33,31.71,187,3
250027780,22.58,32.3,186,3
250112186,19.69,34.77,186,3
250024370,24.57,30.75,185,3
250121584,22.55,31.17,185,3
250088104,21.15,34.64,184,3
250066747,25.59,29.07,183,3
250089289,25.63,29.74,182,4
250091165,23.53,32.16,181,4
250187143,23.93,35.11,181,3
250081921,21.03,31.81,181,3
250019573,20.95,29.87,181,3
250086315,20.93,33.23,181,3
103335,20.42,30.32,181,3
250116951,20.27,32.56,181,3
250091172,22.8,31.55,180,3
250172787,21.69,30.3,180,2
250181712,19.42,30.48,180,2
250066739,25.35,29.52,180,2
250110361,22.81,33.32,180,2
250024448,21.44,32.24,180,2
250026229,20.91,30.19,180,2
250169265,20.43,29.37,180,2
250174149,20.22,33.5,180,2
250196586,20.22,31.19,180,2
250041781,20.05,30.68,180,2
250117410,19.93,35.05,180,2
250122187,19.47,32.32,180,2
250052744,13.25,21.44,180,2
250081721,11.93,24.16,180,2
250087877,11.59,28.32,180,2
250099867,11.11,29.22,180,2
250077750,10.81,25.4,180,2
250028705,10.6,25.31,180,2
250090955,10.49,22.82,180,2
250089824,10.07,25.69,180,2
250011668,9.41,25.7,180,2
250073809,9.31,27.32,180,2
250078922,9.19,22.42,180,2
250080461,8.77,19.51,180,2
250091198,22.42,32.7,179,3
250113392,22.38,32.52,179,3
250101723,21.34,31.96,179,3
250155799,21.22,30.89,179,3
250146610,25.32,31.75,178,4
250091199,21.52,30.2,178,3
250132829,20.61,33.12,176,3
250112974,19.82,31.79,176,3
250181460,20.77,31.91,175,3
250200231,20.45,32.94,173,4
250171283,22.46,30.28,173,2
250173126,22.45,32.15,172,3
250196543,21.48,32.56,170,4
250066886,19.28,33.69,170,2
250102308,23.45,31.21,168,4
250013058,20.55,32.75,168,2
250144965,22.67,34.31,167,4
250132730,21.24,34.08,167,3
250139010,17.93,31.22,167,2
250066156,21.13,30.41,166,2
250163777,24.16,30.51,166,2
250187238,19.81,33.81,164,3
250074010,19.26,29.28,164,3
250064482,19.6,35.17,164,2
250064233,19.06,31.37,164,2
250106939,18.27,31.44,162,2
250005231,21.8,30.23,160,4
250172673,19.91,33.26,159,3
250183519,18.19,30.97,159,3
250189052,17.47,31.37,159,2
250094540,16.2,31.88,159,2
250101444,21.74,31.82,158,3
250164785,21.18,33.3,158,3
250194564,18.2,32.86,158,2
250029318,22.01,32.23,157,3
250101238,19.37,32.75,156,3
250138928,21.02,29.08,155,4
250097638,19.86,29.83,155,3
50327428,17.31,32.03,154,2
250091828,19.87,35.03,153,3
250127538,18.97,35.53,153,2
250161140,18.82,32.36,152,3
250022829,20.13,31.44,152,2
250117705,18.35,33.09,151,3
98023,20.48,31.41,149,3
250113103,19.88,31.75,149,3
250082469,18.3,30.83,149,3
250042632,16.75,31.15,149,2
250115436,20.59,30.67,148,3
250081555,17.62,31.75,146,3
250174063,18.77,34.08,144,3
250124169,17.22,31.92,144,2
250124430,17.88,31.72,143,3
250177722,17.4,31.4,143,2
250106649,17.7,33.78,142,3
250086789,18.84,32.81,141,3
250104939,17.35,29.78,141,2
250019616,21.44,28.23,140,4
250166754,19.76,29.37,139,3
250079383,17.19,32.27,139,3
102153,14.68,32.43,139,2
250166930,19.12,30.85,138,3
250138653,17.59,34.09,138,3
250061361,17.17,32.65,137,3
250058220,16.89,32.25,135,3
250127347,16.8,35.14,135,2
250156002,15.7,31.67,135,2
250124222,17.37,34.09,132,3
250173502,17.53,30.93,131,3
250114167,17.35,31.37,131,3
250128270,16.26,34.9,131,3
250115134,17.01,30.37,130,2
250154416,17.1,30.75,128,3
250189047,15.98,33.58,127,3
250164835,17.42,30.79,127,2
250156235,16.14,30.01,126,3
250042631,16.57,31.68,125,3
250088150,16.17,31.33,125,3
1903428,14.4,33.16,125,2
250124849,17.47,31.38,124,3
250055957,16.61,32.19,123,3
250079670,14.71,33.04,123,2
250198114,15.73,29.05,123,2
250187184,13.75,33.84,120,3
250197796,14.1,29.62,120,2
1906768,16.45,29.33,120,2
250187837,14.44,35.62,120,2
250007075,7.84,25.03,120,2
250116067,18.53,30.38,119,2
250128385,14.71,32.34,118,4
250163447,15.3,33.7,118,3
250101728,12.68,31.96,118,2
250105167,14.82,33.01,117,4
250166916,15.17,34.53,117,3
250058270,14.58,31.43,117,2
250132309,14.03,35.05,117,2
250039931,12.59,32.72,117,2
250161141,15.54,30.92,116,3
250188246,14.78,33.26,116,2
250052957,12.48,31.78,116,2
250168465,17.41,30.9,114,4
250113142,13.17,33.17,114,3
250183092,13.87,32.41,110,4
250057117,15.31,31.11,108,2
250010223,14.19,29.21,107,3
250014636,15.4,28.77,106,2
250153851,12.3,34.42,106,2
250132195,13.29,33.18,105,3
250023551,12.49,31.68,105,2
250174830,13.73,30.53,104,2
250117511,12.8,33.93,104,2
250117406,14.54,30.9,103,4
250071671,14.76,32.03,103,3
250128409,13.66,33.45,103,3
250067629,12.74,33.26,103,3
250154302,11.3,31.05,103,2
250042329,12.79,29.5,102,2
250162177,14.16,32.85,101,3
250055110,13.81,32.95,101,3
250128398,13.47,31.01,101,2
250127239,12.11,29.52,101,2
250088320,11.99,32.03,101,2
250133390,10.01,31.84,99,3
250115487,10.85,31.67,99,2
250104089,13.54,30.34,98,3
250099459,13.55,31.4,97,3
250066157,12.41,32.24,97,3
250123978,10.99,32.81,97,2
250080471,12.54,31.8,97,2
250067334,11.21,30.79,96,2
250132322,11.15,31.5,96,2
250106935,13.67,30.44,94,3
250128468,10.99,31.57,94,2
250092194,11.58,33.78,92,2
250134728,11.67,32.73,92,2
250065413,11.34,32.26,92,2
250115948,11.33,33.27,91,2
250192048,10.95,30.99,91,2
250188225,10.38,32.07,90,3
250110894,12.27,32.25,90,1
250129343,12.45,31.14,90,1
250082664,12.0,31.66,90,1
250054969,11.6,27.72,90,1
250019346,11.5,28.45,90,1
250052849,11.02,31.85,90,1
250102417,10.62,30.78,90,1
250186123,10.43,29.03,90,1
250073778,10.42,28.15,90,1
250177879,10.38,30.19,90,1
250112513,10.37,29.63,90,1
108908,9.93,28.06,90,1
250182606,9.49,33.16,90,1
250055149,9.42,29.06,90,1
250174737,6.82,21.91,90,1
250029377,6.21,22.01,90,1
250090101,6.02,23.96,90,1
250081931,5.53,24.46,90,1
250138250,5.5,22.2,90,1
250117491,5.44,22.15,90,1
250007631,5.11,24.12,90,1
250079112,4.94,20.63,90,1
250089688,9.16,31.36,89,1
250121552,11.39,30.8,86,3
250146926,11.12,30.91,86,3
250064273,10.79,30.28,85,3
250113947,12.14,28.79,85,2
1905643,10.42,31.62,85,1
250063617,9.39,32.29,84,1
250132810,9.8,33.22,83,1
250003318,10.75,31.73,82,2
250089719,9.68,31.79,82,1
250137525,9.7,33.33,81,2
250118281,9.44,29.92,80,3
250172340,9.89,32.6,80,2
250068805,9.84,32.62,79,2
250199902,10.31,30.69,79,1
250101472,10.85,33.92,78,3
250193518,10.83,31.92,78,3
250091175,10.8,33.27,77,3
250132886,9.69,31.46,77,2
250178782,8.96,30.32,77,1
250186923,8.61,30.14,77,1
250063984,9.49,33.83,76,3
1902685,10.53,28.97,75,2
250067295,10.45,30.13,75,2
250193531,10.12,31.13,75,2
250054949,9.47,33.39,75,2
103806,9.09,33.07,75,1
250077453,10.33,33.51,74,3
250174849,9.91,28.03,74,2
250027008,8.31,30.81,74,1
250090809,9.16,32.04,73,2
250121329,8.92,32.09,73,1
250142158,9.94,30.87,72,3
250123910,10.66,33.25,71,4
250080572,10.58,29.17,71,2
250187671,10.4,31.58,70,2
250112117,9.82,30.16,70,2
250193506,9.66,34.11,70,2
250058044,8.66,32.23,70,2
250194573,8.66,33.29,67,2
250015966,8.92,30.54,66,3
250118797,7.78,32.86,66,2
250055899,3.92,22.91,66,1
250105686,8.78,33.5,65,2
250163731,7.63,32.15,65,2
250197958,8.82,31.83,65,1
250090719,8.35,30.87,65,1
250117415,8.71,31.66,64,2
250138985,8.19,31.95,63,2
250107324,8.9,31.28,62,3
250101313,8.09,32.54,62,1
250105890,8.06,27.82,62,1
250063957,7.68,28.86,62,1
250080570,7.97,30.78,61,2
250164780,8.47,31.81,61,1
250097337,7.82,31.33,59,3
250022869,10.77,31.54,58,4
250144297,8.61,31.99,58,3
250141610,7.85,33.41,58,2
250162865,8.53,33.85,57,3
250177423,7.41,30.88,57,1
250198501,8.01,33.48,56,3
250014114,6.46,30.65,56,1
250193519,7.05,29.54,53,2
250171045,7.03,33.51,53,1
250197264,7.9,33.63,52,2
250135615,6.85,31.1,51,2
250102901,6.62,34.74,51,2
250008901,7.16,32.25,51,2
250117806,8.48,31.11,50,3
250153701,6.69,35.87,50,2
250101696,7.5,31.17,49,3
250176491,7.47,31.53,49,1
250129735,7.17,31.67,48,2
250020850,6.59,27.61,47,2
250174851,6.1,31.01,47,2
250089209,7.25,32.88,46,3
250089276,5.62,29.07,46,2
250128222,6.95,32.06,45,3
250198119,6.02,32.82,45,2
250136445,6.36,29.58,45,1
250180309,6,30.82,45,1
250194557,5.91,30.8,45,1
250088039,5.71,27.89,45,1
250105681,5.64,31.37,45,1
250165236,5.39,31.86,45,1
1902445,2.79,22.43,45,1
250121972,6.95,28.3,44,2
50327423,6.51,31.07,44,2
250181428,6.21,32.87,44,2
250041771,7.06,29.99,43,3
250153634,7.13,32.11,43,2
250200298,7.36,28.81,42,3
250172227,5.37,31.5,42,1
250122746,5.99,30.65,41,2
250006998,6.38,30.97,40,2
250185976,5.47,33.16,40,2
250161881,7.1,30.76,39,3
250024795,5.36,34.09,39,2
250177333,3.14,23.15,39,1
107044,5.4,28.25,38,3
250132465,6.57,31.13,38,2
250087967,4.65,32.45,36,2
250056189,5.2,31.64,36,1
250117471,6.06,30.01,35,3
250067749,5.31,24.46,35,2
250196664,6.08,30.84,34,2
250196665,5.11,29.82,34,2
250091841,6.67,32.1,33,3
250041564,5.43,26.0,33,2
250121536,5.01,32.0,31,2
1906511,3.73,27.63,31,2
250198274,5.36,33.36,29,3
250099399,3.61,28.66,29,1
1909868,4.13,33.07,28,2
250086709,4.18,28.02,28,2
250138626,3.53,29.81,28,1
250171667,3.52,31.23,27,1
250077644,3.43,31.98,27,1
250055109,4.87,29.7,26,2
250058215,4.6,32.24,26,2
250144964,3.44,29.29,26,1
250164004,3.02,33.4,26,1
250123428,3.73,32.8,22,2
250166680,3.41,32.47,22,1
250050416,2.99,27.09,22,1
250187620,3.82,30.82,21,3
250143669,1.59,26.13,21,1
250055216,1.25,32.06,21,1
250163186,5.07,31.14,20,3
250193534,3.52,32.82,20,2
250110159,3.28,29.46,20,2
250181082,2.86,25.66,19,2
250187067,2.63,28.18,19,1
250127024,2.43,30.15,19,1
250198120,2.14,33.0,19,1
250138982,3.69,30.18,18,2
250175393,3.06,31.66,18,1
250058218,2.81,25.3,18,1
250134190,2.54,28.9,18,1
250096737,2.97,31.12,17,2
250130771,2.41,31.34,17,1
250118912,2.85,28.44,16,2
250196663,2.61,33.06,16,1
250174602,2.47,30.75,16,1
250056982,2.45,27.17,16,1
250029862,2.2,29.8,16,1
250187899,3.97,31.79,15,3
250135607,2.56,30.87,15,2
250182794,2.61,30.22,15,1
250200307,2.45,28.44,15,1
250081720,2.08,28.47,15,1
250139101,3.28,32.35,14,3
250159294,2.53,33.41,14,1
250170137,2.5,32.35,14,1
250169763,3.41,27.18,13,2
250161761,2.59,33.64,12,2
250199913,1.97,28.39,12,1
250010259,1.73,28.92,12,1
250198122,1.66,27.85,12,1
250004986,1.63,26.69,12,1
250107089,2.04,27.88,11,1
250197801,1.74,33.65,11,1
250164781,1.7,32.14,11,1
250103561,1.41,28.79,11,1
250042521,2.86,29.11,10,2
250177597,2.21,28.15,10,1
250183510,1.98,30.44,10,1
250165221,1.47,34.62,10,1
250054393,0.67,20.81,10,1
1906553,2.86,29.44,9,2
250137395,1.94,29.33,9,1
250161142,1.68,28.97,9,1
250116699,1.22,26.41,9,1
250098468,1.98,29.38,8,1
250197800,1.58,29.55,8,1
250168996,1.47,26.98,8,1
250061589,1.74,26.95,7,1
250172594,1.23,25.67,7,1
250133903,1.13,28.0,7,1
250089626,2.25,27.45,6,2
250190378,1.26,33.64,6,1
250139255,1.16,25.07,5,1
250140936,1.07,22.57,4,1
250187793,0.97,28.55,4,1
250116759,1,29.19,3,1
250138999,0.89,27.47,3,1
250128391,0.73,26.8,2,1
250126267,0.65,28.22,2,1
250154309,1.02,26.67,1,1
250087431,0.98,28.29,1,1
250134952,0.9,27.86,1,1
250189107,0.78,30.61,1,1
250090398,0.73,29.62,1,1
250097935,0.71,25.88,1,1
250193442,0.33,22.44,1,1
93443,,,,
69178,,,,
250204164,,,,
250202692,,,,
250201731,,,,
250201718,,,,
250200248,,,,
250199905,,,,
250199900,,,,
250199899,,,,
250199543,,,,
250199225,,,,
250198502,,,,
250198498,,,,
250197866,,,,
250196593,,,,
250196587,,,,
250196584,,,,
250196581,,,,
250196544,,,,
250196542,,,,
250195173,,,,
250194271,,,,
250193410,,,,
250192873,,,,
250192699,,,,
250192405,,,,
250192269,,,,
250190780,,,,
250190776,,,,
250190774,,,,
250190375,,,,
250190117,,,,
250189610,,,,
250189230,,,,
250189174,,,,
250189136,,,,
250188470,,,,
250188129,,,,
250187771,,,,
250186116,,,,
250185049,,,,
250184504,,,,
250183894,,,,
250183341,,,,
250182971,,,,
250180810,,,,
250180112,,,,
250180059,,,,
250179734,,,,
250179137,,,,
250179078,,,,
250178085,,,,
250178076,,,,
250178067,,,,
250177933,,,,
250177819,,,,
250177612,,,,
250177593,,,,
250177426,,,,
250177381,,,,
250176532,,,,
250176488,,,,
250176477,,,,
250176229,,,,
250176213,,,,
250176212,,,,
250176188,,,,
250174995,,,,
250174331,,,,
250172534,,,,
250171662,,,,
250171659,,,,
250171100,,,,
250170952,,,,
250170141,,,,
250170133,,,,
250170117,,,,
250169918,,,,
250169894,,,,
250169891,,,,
250169577,,,,
250169576,,,,
250168729,,,,
250168060,,,,
250166787,,,,
250165547,,,,
250164989,,,,
250164740,,,,
250164626,,,,
250164169,,,,
250164068,,,,
250164054,,,,
250163658,,,,
250163505,,,,
250163224,,,,
250162627,,,,
250162176,,,,
250160990,,,,
250160835,,,,
250154458,,,,
250154332,,,,
250154301,,,,
250153773,,,,
250153677,,,,
250153412,,,,
250153408,,,,
250150470,,,,
250148144,,,,
250144288,,,,
250139387,,,,
250139028,,,,
250138956,,,,
250138950,,,,
250138635,,,,
250138623,,,,
250138286,,,,
250138239,,,,
250137521,,,,
250135608,,,,
250135499,,,,
250135497,,,,
250129928,,,,
250129831,,,,
250127502,,,,
250127149,,,,
250127130,,,,
250124400,,,,
250123440,,,,
250123020,,,,
250118962,,,,
250118787,,,,
250117408,,,,
250116069,,,,
250113263,,,,
250109859,,,,
250109381,,,,
250109378,,,,
250108031,,,,
250106979,,,,
250106880,,,,
250105664,,,,
250104128,,,,
250104101,,,,
250103498,,,,
250101698,,,,
250096761,,,,
250088389,,,,
250088122,,,,
250088117,,,,
250087542,,,,
250086637,,,,
250082738,,,,
250082625,,,,
250081634,,,,
250079522,,,,
250074072,,,,
250070418,,,,
250069830,,,,
250067821,,,,
250066521,,,,
250065307,,,,
250064310,,,,
250061507,,,,
250058260,,,,
250058121,,,,
250056861,,,,
250056735,,,,
250042779,,,,
250042778,,,,
250041563,,,,
250040599,,,,
250022366,,,,
250017814,,,,
250015753,,,,
250011071,,,,
250000104,,,,
108501,,,,
103827,,,,
101585,,,,
